pid,name,username,num_ctx_switches,memory_info,cpu_percent,memory_percent,nice,create_time,utime,stime,cutime,cstime
211,coreservicesd,root,"pctxsw(voluntary=140320876532026, involuntary=0)","pmem(rss=2928640, vms=34480861184, pfaults=2809, pageins=4)",0.0,0.03409385681152344,0,1681319933.540645,0.123407584,0.292651392,0.0,0.0
219,csnameddatad,root,"pctxsw(voluntary=140320876527728, involuntary=0)","pmem(rss=1167360, vms=34466439168, pfaults=1011, pageins=2)",0.0,0.013589859008789062,0,1681319933.688852,0.005845316,0.009090292,0.0,0.0
222,trustd,_trustd,"pctxsw(voluntary=140320876575172, involuntary=0)","pmem(rss=17113088, vms=34514305024, pfaults=15392, pageins=59)",0.0,0.19922256469726562,0,1681319933.734349,14.72804864,1.657209216,0.0,0.0
226,syspolicyd,root,"pctxsw(voluntary=140320876566030, involuntary=0)","pmem(rss=12746752, vms=34525249536, pfaults=131077, pageins=105074)",0.0,0.1483917236328125,0,1681319933.774113,11.81682688,1.660990336,0.0,0.0
227,distnoted,root,"pctxsw(voluntary=140320876528681, involuntary=0)","pmem(rss=1110016, vms=34437611520, pfaults=1561, pageins=4)",0.0,0.012922286987304688,0,1681319933.775657,0.041750144,0.020744708,0.0,0.0
229,trustdFileHelper,root,"pctxsw(voluntary=140320876527736, involuntary=0)","pmem(rss=2019328, vms=34467024896, pfaults=1933, pageins=2)",0.0,0.023508071899414062,0,1681319933.797326,0.038075172,0.016797476,0.0,0.0
241,runningboardd,root,"pctxsw(voluntary=140320876569759, involuntary=0)","pmem(rss=9494528, vms=34508144640, pfaults=6359, pageins=45)",0.0,0.11053085327148438,0,1681319933.962894,1.82325504,0.908933376,0.0,0.0
243,coreaudiod,_coreaudiod,"pctxsw(voluntary=140320876583265, involuntary=0)","pmem(rss=19652608, vms=34526367744, pfaults=15740, pageins=848)",0.0,0.22878646850585938,0,1681319934.039861,0.710223424,1.595988096,0.0,0.0
245,distnoted,_coreaudiod,"pctxsw(voluntary=140320876528401, involuntary=0)","pmem(rss=1114112, vms=34437611520, pfaults=1564, pageins=4)",0.0,0.012969970703125,0,1681319934.148381,0.039119824,0.018924312,0.0,0.0
252,PlugInLibraryService,root,"pctxsw(voluntary=140320876527697, involuntary=0)","pmem(rss=1089536, vms=34466521088, pfaults=954, pageins=3)",0.0,0.012683868408203125,0,1681319934.54317,0.006354025,0.011439606,0.0,0.0
255,nehelper,root,"pctxsw(voluntary=140320876529755, involuntary=0)","pmem(rss=5185536, vms=34497101824, pfaults=3007, pageins=63)",0.0,0.060367584228515625,0,1681319934.76668,0.355604096,0.169722208,0.0,0.0
256,containermanagerd,root,"pctxsw(voluntary=140320876528423, involuntary=0)","pmem(rss=2367488, vms=34496909312, pfaults=2340, pageins=40)",0.0,0.027561187744140625,0,1681319934.840477,0.064154544,0.048248964,0.0,0.0
257,apfsd,root,"pctxsw(voluntary=140320876528051, involuntary=0)","pmem(rss=2187264, vms=34465984512, pfaults=1244, pageins=2)",0.0,0.025463104248046875,0,1681319934.858872,0.012766172,0.025363352,0.0,0.0
258,nsurlsessiond,_nsurlsessiond,"pctxsw(voluntary=140320876531701, involuntary=0)","pmem(rss=10956800, vms=34513752064, pfaults=5079, pageins=54)",0.0,0.12755393981933594,0,1681319934.874347,0.285121856,0.261033248,0.0,0.0
259,airportd,root,"pctxsw(voluntary=140320876589796, involuntary=0)","pmem(rss=16793600, vms=34511933440, pfaults=24605, pageins=284)",0.0,0.19550323486328125,0,1681319934.883219,12.230402048,2.957470976,0.0,0.0
260,usbd,root,"pctxsw(voluntary=140320876527887, involuntary=0)","pmem(rss=2932736, vms=34496389120, pfaults=2133, pageins=2)",0.0,0.03414154052734375,0,1681319934.909426,0.037894996,0.015056363,0.0,0.0
262,cryptexd,root,"pctxsw(voluntary=140320876527712, involuntary=0)","pmem(rss=1572864, vms=34970132480, pfaults=1179, pageins=23)",0.0,0.018310546875,0,1681319935.950217,0.006442677,0.01864706,0.0,0.0
263,mobileassetd,root,"pctxsw(voluntary=140320876573083, involuntary=0)","pmem(rss=16355328, vms=34512343040, pfaults=36678, pageins=282)",0.0,0.1904010772705078,0,1681319935.956666,6.57182464,3.376690432,0.0,0.0
265,socketfilterfw,root,"pctxsw(voluntary=140320876571738, involuntary=0)","pmem(rss=4591616, vms=34498179072, pfaults=17017, pageins=3)",0.0,0.05345344543457031,0,1681319936.664609,6.158751744,7.091525632,0.0,0.0
273,awdd,root,"pctxsw(voluntary=140320876528301, involuntary=0)","pmem(rss=3883008, vms=34497662976, pfaults=1993, pageins=22)",0.0,0.04520416259765625,0,1681319936.728645,0.021206132,0.040130164,0.0,0.0
277,authd,root,"pctxsw(voluntary=140320876532310, involuntary=0)","pmem(rss=5951488, vms=34499444736, pfaults=3711, pageins=37)",0.0,0.06928443908691406,0,1681319936.752985,0.463273376,0.498605216,0.0,0.0
279,symptomsd,_networkd,"pctxsw(voluntary=140320876538104, involuntary=0)","pmem(rss=11554816, vms=34510761984, pfaults=5322, pageins=189)",0.0,0.13451576232910156,0,1681319937.419609,0.431554496,0.350565536,0.0,0.0
285,diskmanagementd,root,"pctxsw(voluntary=140320876534951, involuntary=0)","pmem(rss=12238848, vms=34532597760, pfaults=57632, pageins=65)",0.0,0.14247894287109375,0,1681319937.894861,0.28576768,0.422974912,0.0,0.0
286,wifip2pd,root,"pctxsw(voluntary=140320876538636, involuntary=0)","pmem(rss=9625600, vms=34475126784, pfaults=4633, pageins=64)",0.0,0.11205673217773438,0,1681319937.972991,1.11728704,0.662137024,0.0,0.0
288,com.apple.audio.,_coreaudiod,"pctxsw(voluntary=140320876530743, involuntary=0)","pmem(rss=2310144, vms=34467307520, pfaults=1226, pageins=12)",0.0,0.02689361572265625,0,1681319938.09692,0.104482752,0.082606136,0.0,0.0
