pid,name,username,cpu_percent,memory_percent
1601,com.apple.WebKit.WebContent,jachian,0.0,0.4974842071533203
1611,akd,root,,
1612,com.apple.WebKit.WebContent,jachian,0.0,0.3582477569580078
1626,,root,,
1705,MTLCompilerService,jachian,0.0,0.013780593872070312
1706,distnoted,_rmd,,
1707,InteractiveLegac,_rmd,,
1708,systemstats,root,,
1733,extensionkitservice,jachian,0.0,0.032806396484375
1734,adprivacyd,jachian,0.0,0.10943412780761719
1736,SafariLinkExtension,jachian,0.0,0.06861686706542969
1738,CalendarFocusConfigurationExtension,jachian,0.0,0.08158683776855469
1739,MailShortcutsExtension,jachian,0.0,0.09737014770507812
1751,,root,,
1752,LegacyProfilesSu,_rmd,,
1753,MessagesActionExtension,jachian,0.0,0.08139610290527344
1764,mdbulkimport,_spotlight,,
1765,mdworker,jachian,0.0,0.06108283996582031
1766,PasscodeSettings,_rmd,,
1793,trustd,_spotlight,,
1794,assistant_service,jachian,0.0,0.3612041473388672
1795,AccountSubscribe,_rmd,,
1805,ManagementTestSu,_rmd,,
1807,mdworker,_spotlight,,
1826,weatherd,jachian,0.0,0.0873565673828125
1867,,root,,
1913,,root,,
1959,,root,,
1979,devicecheckd,jachian,0.0,0.02460479736328125
1993,storeaccountd,jachian,0.0,0.09713172912597656
2011,,root,,
2067,memoryanalyticsd,root,,
2068,mobileactivation,root,,
2072,com.apple.WebKit.WebContent,jachian,0.0,1.4590740203857422
2073,,root,,
2097,com.apple.WebKit.GPU,jachian,0.0,0.1446247100830078
2110,reversetemplated,jachian,0.0,0.07424354553222656
2111,CrashReporterSup,root,,
2126,,root,,
2137,MTLCompilerService,jachian,0.0,0.09274482727050781
2183,,root,,
2232,,root,,
2280,,root,,
2316,proactiveeventtrackerd,jachian,0.0,0.04673004150390625
2335,,root,,
2403,,root,,
2458,,root,,
2513,,root,,
2557,containermanager,_spotlight,,
2568,,root,,
2591,tzd,root,,
2631,,root,,
2685,,root,,
2712,EscrowSecurityAlert,jachian,0.0,0.10142326354980469
2748,,root,,
2796,,root,,
2843,,root,,
2898,,root,,
2952,,root,,
3000,,root,,
3074,,root,,
3144,,root,,
3234,,root,,
3304,csimporter,jachian,0.0,0.05850791931152344
3305,com.apple.mail.SpotlightIndexExtension,jachian,0.0,0.08664131164550781
3308,com.apple.Notes.SpotlightIndexExtension,jachian,0.0,0.10957717895507812
3309,MobileSMSSpotlightImporterCatalyst,jachian,0.0,0.16412734985351562
3310,,root,,
3376,,root,,
3403,ssh-agent,jachian,0.0,0.011730194091796875
3456,,root,,
3504,,root,,
3550,,root,,
3612,,root,,
3672,,root,,
3723,,root,,
3772,,root,,
3830,,root,,
3907,,root,,
4008,,root,,
4056,,root,,
4102,,root,,
4144,,root,,
4191,,root,,
4200,com.apple.WebKit.WebContent,jachian,0.0,0.6010532379150391
4230,com.apple.WebKit.WebContent,jachian,0.0,0.32591819763183594
4231,MTLCompilerService,jachian,0.0,0.11887550354003906
4240,,root,,
4286,,root,,
4334,,root,,
4381,,root,,
4427,,root,,
4472,,root,,
4519,,root,,
4565,,root,,
4611,,root,,
4657,,root,,
4702,,root,,
4748,,root,,
4794,,root,,
4840,,root,,
4885,,root,,
4931,,root,,
4976,,root,,
5021,,root,,
5066,,root,,
5111,,root,,
5156,,root,,
5201,,root,,
5246,,root,,
5292,,root,,
5338,,root,,
5383,,root,,
5423,,root,,
5450,MTLCompilerService,jachian,0.0,0.09393692016601562
5451,com.apple.WebKit.WebContent,jachian,0.0,0.37398338317871094
5471,,root,,
5480,com.apple.audio.SandboxHelper,jachian,0.0,0.029134750366210938
5498,CategoriesService,jachian,0.0,0.04677772521972656
5561,,root,,
5587,mediaanalysisd,jachian,0.0,0.20551681518554688
5642,,root,,
5735,,root,,
5764,MTLCompilerService,jachian,0.0,0.10061264038085938
5824,,root,,
5854,com.apple.WebKit.WebContent,jachian,0.0,0.3651142120361328
5882,com.apple.WebKit.WebContent,jachian,0.0,0.3593921661376953
5886,com.apple.WebKit.WebContent,jachian,0.0,0.3613471984863281
5904,com.apple.WebKit.WebContent,jachian,0.0,0.3611564636230469
5912,,root,,
5934,com.apple.WebKit.WebContent,jachian,0.0,0.30670166015625
5950,com.apple.WebKit.WebContent,jachian,0.0,0.36487579345703125
6006,,root,,
6121,,root,,
6210,,root,,
6294,,root,,
6383,,root,,
6475,,root,,
6531,,root,,
6613,,root,,
6701,,root,,
6800,,root,,
6973,,root,,
7061,,root,,
7149,,root,,
7232,,root,,
7313,,root,,
7356,,root,,
7400,,root,,
7454,,root,,
7500,,root,,
7545,QuickLookSatellite,jachian,0.0,0.4384040832519531
7549,,root,,
7578,MTLCompilerService,jachian,0.0,0.09565353393554688
7594,com.apple.WebKit.WebContent,jachian,0.0,0.3909587860107422
7595,MTLCompilerService,jachian,0.0,0.014400482177734375
7597,,root,,
7641,PlugInLibraryService,jachian,0.0,0.012111663818359375
7642,ThumbnailExtension_macOS,jachian,0.0,0.11997222900390625
7643,TextEdit,jachian,0.0,0.3312110900878906
7644,XprotectService,jachian,0.0,0.04839897155761719
7647,,root,,
7673,mdwrite,jachian,0.0,0.045299530029296875
7684,com.apple.appkit.xpc.openAndSavePanelService,jachian,0.0,0.2644538879394531
7685,QuickLookUIService,jachian,0.0,0.11548995971679688
7700,,root,,
7745,,root,,
7872,,root,,
7920,,root,,
7965,,root,,
8010,,root,,
8055,,root,,
8087,com.apple.audio.,root,,
8102,,root,,
8147,,root,,
8192,,root,,
8238,,root,,
8283,,root,,
8328,,root,,
8373,,root,,
8413,,root,,
8458,,root,,
8504,,root,,
8549,,root,,
8577,com.apple.WebKit.WebContent,jachian,0.0,0.5117893218994141
8596,,root,,
8641,,root,,
8686,,root,,
8731,,root,,
8776,,root,,
8821,,root,,
8866,,root,,
8911,,root,,
8956,,root,,
9001,,root,,
9046,,root,,
9091,,root,,
9136,,root,,
9181,,root,,
9226,,root,,
9276,,root,,
9376,,root,,
9438,,root,,
9493,,root,,
9539,,root,,
9584,,root,,
9629,,root,,
9674,,root,,
9719,,root,,
9764,,root,,
