pid,name,username,cpu_percent,memory_info,memory_percent,nice,num_ctx_switches,create_time,utime,stime,cutime,cstime
4200,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=17408000, vms=127603826688, pfaults=4956527, pageins=1929)",0.20265579223632812,0,"pctxsw(voluntary=140333763457088, involuntary=0)",1681144604.431556,299.820351488,71.725940736,0.0,0.0
4231,MTLCompilerService,jachian,0.0,"pmem(rss=1703936, vms=35025723392, pfaults=8088, pageins=66)",0.01983642578125,0,"pctxsw(voluntary=140333761430398, involuntary=0)",1681144611.437934,0.116313216,0.05838728,0.0,0.0
5451,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=16973824, vms=143723483136, pfaults=359881, pageins=931)",0.197601318359375,0,"pctxsw(voluntary=140333761491866, involuntary=0)",1681144881.196691,5.928246272,3.152409088,0.0,0.0
5498,CategoriesService,jachian,0.0,"pmem(rss=5328896, vms=34512527360, pfaults=8550, pageins=30)",0.06203651428222656,0,"pctxsw(voluntary=140333761432867, involuntary=0)",1681144891.141478,0.114225352,0.15240864,0.0,0.0
5854,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=14290944, vms=126590267392, pfaults=377186, pageins=352)",0.1663684844970703,0,"pctxsw(voluntary=140333761502025, involuntary=0)",1681144972.085328,6.370976256,2.939948544,0.0,0.0
5882,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=20131840, vms=126396174336, pfaults=231807, pageins=296)",0.23436546325683594,0,"pctxsw(voluntary=140333761465810, involuntary=0)",1681144979.819623,3.451454976,1.682985728,0.0,0.0
5886,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=24018944, vms=126398984192, pfaults=315470, pageins=560)",0.2796173095703125,0,"pctxsw(voluntary=140333761475517, involuntary=0)",1681144980.582582,4.465025536,2.35516672,0.0,0.0
5904,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=26689536, vms=126592184320, pfaults=556776, pageins=1632)",0.31070709228515625,0,"pctxsw(voluntary=140333761588282, involuntary=0)",1681144984.135523,14.39226368,6.615041024,0.0,0.0
5934,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=15855616, vms=143344975872, pfaults=141548, pageins=443)",0.1845836639404297,0,"pctxsw(voluntary=140333761464726, involuntary=0)",1681144990.775512,1.819444864,1.314449024,0.0,0.0
5950,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=17133568, vms=126624681984, pfaults=440943, pageins=1195)",0.1994609832763672,0,"pctxsw(voluntary=140333761534999, involuntary=0)",1681144993.418395,9.44157184,5.027789824,0.0,0.0
